id,user_id,product_id,filtering,likert_scale,matching_slider,shape_slider,skin_tone_slider
7,1,32591,content-based,1,1,3.3,2.2
8,9,2584,random,1.6,4.7,1.1,4.5
9,9,12590,random,5,5,5,5
10,9,1803,random,4.3,4.3,4.3,1.6
11,9,2288,content-based,5,5,5,5
12,9,19744,content-based,5,5,5,5
13,9,7158,content-based,5,4.3,5,5
14,9,12834,random,1.4,5,4.4,5
15,9,11246,random,5,5,5,5
16,9,12500,content-based,5,5,5,5
17,9,32903,content-based,1.8,4.2,4.3,4.2
18,10,20200,random,3,4,4,4
19,10,30453,content-based,1.7,1.8,1.8,1.8
20,10,23951,content-based,5,5,4.2,5
22,10,40272,random,1.7,1.5,1.6,1.6
23,10,13440,random,3,4,1.5,2.7
24,10,4458,random,3,3.6,1.7,1.7
25,10,27036,random,1.7,1.7,1.6,1.5
26,10,16198,content-based,4.2,4.2,4.2,4.7
27,10,34202,content-based,5,5,5,5
28,10,5865,content-based,3.8,4.5,4.4,4.4
